Year,Subject,Country,Score,Rank
2009,Maths,Kazakhstan,405.0,48.0
2009,Maths,South Korea,546.0,3.0
2009,Maths,Kosovo,,
2009,Maths,Latvia,482.0,34.0
2009,Maths,Lebanon,,
2009,Maths,Lithuania,477.0,35.0
2009,Maths,Luxembourg,489.0,28.0
2009,Maths,Macau,525.0,10.0
2009,Maths,Malaysia,,
2009,Maths,Malta,,
2009,Maths,Mexico,419.0,46.0
2009,Maths,Moldova,,
2009,Maths,Montenegro,403.0,49.0
2009,Maths,Netherlands,526.0,9.0
2009,Maths,New Zealand,519.0,11.0
2009,Maths,Norway,498.0,19.0
2009,Maths,Peru,365.0,57.0
2009,Maths,Poland,495.0,23.0
2009,Maths,Portugal,487.0,31.0
2009,Maths,Qatar,368.0,56.0
2009,Maths,Romania,427.0,42.0
2009,Maths,Russia,468.0,36.0
2009,Maths,Singapore,562.0,1.0
2009,Maths,Slovakia,497.0,21.0
2009,Maths,Slovenia,501.0,18.0
2009,Maths,Spain,483.0,32.0
2009,Maths,Sweden,494.0,24.0
2009,Maths,Switzerland,534.0,6.0
2009,Maths,Thailand,419.0,45.0
2009,Maths,Trinidad and Tobago,414.0,47.0
2009,Maths,Tunisia,371.0,54.0
2009,Maths,Turkey,445.0,40.0
2009,Maths,United Arab Emirates,,
2009,Maths,United Kingdom,492.0,26.0
2009,Maths,United States,487.0,29.0
2009,Maths,Uruguay,427.0,43.0
2009,Maths,Vietnam,,
2012,Maths,Albania,394.0,54.0
2012,Maths,Algeria,,
2012,Maths,Argentina,,
2012,Maths,Australia,504.0,17.0
2012,Maths,Austria,506.0,16.0
2012,Maths,China B-S-J-G,,
2012,Maths,Belgium,515.0,13.0
2012,Maths,Brazil,389.0,55.0
2012,Maths,Bulgaria,439.0,43.0
2012,Maths,Argentina CABA,418.0,49.0
2012,Maths,Canada,518.0,11.0
2012,Maths,Chile,423.0,47.0
2012,Maths,Taiwan,560.0,3.0
2012,Maths,Colombia,376.0,58.0
2012,Maths,Costa Rica,407.0,53.0
2012,Maths,Croatia,471.0,38.0
2012,Maths,Cyprus,,
2012,Maths,Czech Republic,499.0,22.0
2012,Maths,Denmark,500.0,20.0
2012,Maths,Dominican Republic,,
2012,Maths,Estonia,521.0,9.0
2012,Maths,Finland,519.0,10.0
2012,Maths,France,495.0,23.0
2012,Maths,Macedonia,,
2012,Maths,Georgia,,
2012,Maths,Germany,514.0,14.0
2012,Maths,Greece,453.0,40.0
2012,Maths,Hong Kong,561.0,2.0
2012,Maths,Hungary,477.0,37.0
2012,Maths,Iceland,493.0,25.0
2012,Maths,Indonesia,375.0,60.0
2012,Maths,Ireland,501.0,18.0
2012,Maths,Israel,466.0,39.0
2012,Maths,Italy,485.0,30.0
2012,Maths,Japan,536.0,6.0
2012,Maths,Jordan,386.0,57.0
2012,Maths,Kazakhstan,432.0,45.0
2012,Maths,South Korea,554.0,4.0
2012,Maths,Kosovo,,
2012,Maths,Latvia,491.0,26.0
2012,Maths,Lebanon,,
2012,Maths,Lithuania,479.0,35.0
2012,Maths,Luxembourg,490.0,27.0
2012,Maths,Macau,538.0,5.0
2012,Maths,Malaysia,421.0,48.0
2012,Maths,Malta,,
2012,Maths,Mexico,413.0,50.0
2012,Maths,Moldova,,
2012,Maths,Montenegro,410.0,51.0
2012,Maths,Netherlands,523.0,8.0
2012,Maths,New Zealand,500.0,21.0
2012,Maths,Norway,489.0,28.0
2012,Maths,Peru,368.0,61.0
2012,Maths,Poland,518.0,12.0
2012,Maths,Portugal,487.0,29.0
2012,Maths,Qatar,376.0,59.0
2012,Maths,Romania,445.0,42.0
2012,Maths,Russia,482.0,32.0
2012,Maths,Singapore,573.0,1.0
2012,Maths,Slovakia,482.0,33.0
2012,Maths,Slovenia,501.0,19.0
2012,Maths,Spain,484.0,31.0
2012,Maths,Sweden,478.0,36.0
2012,Maths,Switzerland,531.0,7.0
2012,Maths,Thailand,427.0,46.0
2012,Maths,Trinidad and Tobago,,
2012,Maths,Tunisia,388.0,56.0
2012,Maths,Turkey,448.0,41.0
2012,Maths,United Arab Emirates,434.0,44.0
2012,Maths,United Kingdom,494.0,24.0
2012,Maths,United States,481.0,34.0
2012,Maths,Uruguay,409.0,52.0
2012,Maths,Vietnam,511.0,15.0
2015,Maths,Albania,413.0,57.0
2015,Maths,Algeria,360.0,72.0
2015,Maths,Argentina,409.0,58.0
2015,Maths,Australia,494.0,25.0
2015,Maths,Austria,497.0,20.0
2015,Maths,China B-S-J-G,531.0,6.0
2015,Maths,Belgium,507.0,15.0
2015,Maths,Brazil,377.0,68.0
2015,Maths,Bulgaria,441.0,47.0
2015,Maths,Argentina CABA,456.0,43.0
2015,Maths,Canada,516.0,10.0
2015,Maths,Chile,423.0,50.0
2015,Maths,Taiwan,542.0,4.0
2015,Maths,Colombia,390.0,64.0
2015,Maths,Costa Rica,400.0,62.0
2015,Maths,Croatia,464.0,41.0
2015,Maths,Cyprus,437.0,48.0
2015,Maths,Czech Republic,492.0,28.0
2015,Maths,Denmark,511.0,12.0
2015,Maths,Dominican Republic,328.0,73.0
2015,Maths,Estonia,520.0,9.0
2015,Maths,Finland,511.0,13.0
2015,Maths,France,493.0,26.0
2015,Maths,Macedonia,371.0,69.0
2015,Maths,Georgia,404.0,60.0
2015,Maths,Germany,506.0,16.0
2015,Maths,Greece,454.0,44.0
2015,Maths,Hong Kong,548.0,2.0
2015,Maths,Hungary,477.0,37.0
2015,Maths,Iceland,488.0,31.0
2015,Maths,Indonesia,386.0,66.0
2015,Maths,Ireland,504.0,18.0
2015,Maths,Israel,470.0,39.0
2015,Maths,Italy,490.0,30.0
2015,Maths,Japan,532.0,5.0
2015,Maths,Jordan,380.0,67.0
2015,Maths,Kazakhstan,460.0,42.0
2015,Maths,South Korea,524.0,7.0
2015,Maths,Kosovo,362.0,71.0
2015,Maths,Latvia,482.0,34.0
2015,Maths,Lebanon,396.0,63.0
2015,Maths,Lithuania,478.0,36.0
2015,Maths,Luxembourg,486.0,33.0
2015,Maths,Macau,544.0,3.0
2015,Maths,Malaysia,446.0,45.0
2015,Maths,Malta,479.0,35.0
2015,Maths,Mexico,408.0,59.0
2015,Maths,Moldova,420.0,52.0
2015,Maths,Montenegro,418.0,54.0
2015,Maths,Netherlands,512.0,11.0
2015,Maths,New Zealand,495.0,21.0
2015,Maths,Norway,502.0,19.0
2015,Maths,Peru,387.0,65.0
2015,Maths,Poland,504.0,17.0
2015,Maths,Portugal,492.0,29.0
2015,Maths,Qatar,402.0,61.0
2015,Maths,Romania,444.0,46.0
2015,Maths,Russia,494.0,23.0
2015,Maths,Singapore,564.0,1.0
2015,Maths,Slovakia,475.0,38.0
2015,Maths,Slovenia,510.0,14.0
2015,Maths,Spain,486.0,32.0
2015,Maths,Sweden,494.0,24.0
2015,Maths,Switzerland,521.0,8.0
2015,Maths,Thailand,415.0,56.0
2015,Maths,Trinidad and Tobago,417.0,55.0
2015,Maths,Tunisia,367.0,70.0
2015,Maths,Turkey,420.0,51.0
2015,Maths,United Arab Emirates,427.0,49.0
2015,Maths,United Kingdom,492.0,27.0
2015,Maths,United States,470.0,40.0
2015,Maths,Uruguay,418.0,53.0
2015,Maths,Vietnam,495.0,22.0
2006,Science,Albania,,
2006,Science,Algeria,,
2006,Science,Argentina,,
2006,Science,Australia,527.0,8.0
2006,Science,Austria,511.0,17.0
2006,Science,China B-S-J-G,,
2006,Science,Belgium,510.0,18.0
2006,Science,Brazil,390.0,49.0
2006,Science,Bulgaria,434.0,40.0
2006,Science,Argentina CABA,,
2006,Science,Canada,534.0,3.0
2006,Science,Chile,438.0,39.0
2006,Science,Taiwan,532.0,4.0
2006,Science,Colombia,388.0,50.0
2006,Science,Costa Rica,,
2006,Science,Croatia,493.0,25.0
2006,Science,Cyprus,,
2006,Science,Czech Republic,513.0,14.0
2006,Science,Denmark,496.0,23.0
2006,Science,Dominican Republic,,
2006,Science,Estonia,531.0,5.0
2006,Science,Finland,563.0,1.0
2006,Science,France,495.0,24.0
2006,Science,Macedonia,,
2006,Science,Georgia,,
2006,Science,Germany,516.0,12.0
2006,Science,Greece,473.0,37.0
2006,Science,Hong Kong,542.0,2.0
2006,Science,Hungary,504.0,20.0
2006,Science,Iceland,491.0,26.0
2006,Science,Indonesia,393.0,48.0
2006,Science,Ireland,508.0,19.0
2006,Science,Israel,454.0,38.0
2006,Science,Italy,475.0,35.0
2006,Science,Japan,531.0,6.0
2006,Science,Jordan,422.0,43.0
2006,Science,Kazakhstan,,
2006,Science,South Korea,522.0,10.0
2006,Science,Kosovo,,
2006,Science,Latvia,490.0,27.0
2006,Science,Lebanon,,
2006,Science,Lithuania,488.0,31.0
2006,Science,Luxembourg,486.0,33.0
2006,Science,Macau,511.0,16.0
2006,Science,Malaysia,,
2006,Science,Malta,,
2006,Science,Mexico,410.0,47.0
2006,Science,Moldova,,
2006,Science,Montenegro,412.0,46.0
2006,Science,Netherlands,525.0,9.0
2006,Science,New Zealand,530.0,7.0
2006,Science,Norway,487.0,32.0
2006,Science,Peru,,
2006,Science,Poland,498.0,22.0
2006,Science,Portugal,474.0,36.0
2006,Science,Qatar,349.0,52.0
2006,Science,Romania,418.0,45.0
2006,Science,Russia,479.0,34.0
2006,Science,Singapore,,
2006,Science,Slovakia,488.0,29.0
2006,Science,Slovenia,519.0,11.0
2006,Science,Spain,488.0,30.0
2006,Science,Sweden,503.0,21.0
2006,Science,Switzerland,512.0,15.0
2006,Science,Thailand,421.0,44.0
2006,Science,Trinidad and Tobago,,
2006,Science,Tunisia,386.0,51.0
2006,Science,Turkey,424.0,42.0
2006,Science,United Arab Emirates,,
2006,Science,United Kingdom,515.0,13.0
2006,Science,United States,489.0,28.0
2006,Science,Uruguay,428.0,41.0
2006,Science,Vietnam,,
2009,Science,Albania,391.0,54.0
2009,Science,Algeria,,
2009,Science,Argentina,,
2009,Science,Australia,527.0,9.0
2009,Science,Austria,494.0,28.0
2009,Science,China B-S-J-G,,
2009,Science,Belgium,507.0,19.0
2009,Science,Brazil,405.0,49.0
2009,Science,Bulgaria,439.0,42.0
2009,Science,Argentina CABA,,
2009,Science,Canada,529.0,7.0
2009,Science,Chile,447.0,41.0
2009,Science,Taiwan,520.0,11.0
2009,Science,Colombia,402.0,50.0
2009,Science,Costa Rica,,
2009,Science,Croatia,486.0,35.0
2009,Science,Cyprus,,
2009,Science,Czech Republic,500.0,22.0
2009,Science,Denmark,499.0,24.0
2009,Science,Dominican Republic,,
2009,Science,Estonia,528.0,8.0
2009,Science,Finland,554.0,1.0
2009,Science,France,498.0,25.0
2009,Science,Macedonia,,
2009,Science,Georgia,,
2009,Science,Germany,520.0,12.0
2009,Science,Greece,470.0,38.0
2009,Science,Hong Kong,549.0,2.0
2009,Science,Hungary,503.0,20.0
2009,Science,Iceland,496.0,26.0
2009,Science,Indonesia,383.0,55.0
2009,Science,Ireland,508.0,18.0
2009,Science,Israel,455.0,39.0
2009,Science,Italy,489.0,33.0
2009,Science,Japan,539.0,4.0
2009,Science,Jordan,415.0,47.0
2009,Science,Kazakhstan,400.0,53.0
2009,Science,South Korea,538.0,5.0
2009,Science,Kosovo,,
2009,Science,Latvia,494.0,29.0
2009,Science,Lebanon,,
2009,Science,Lithuania,491.0,31.0
2009,Science,Luxembourg,484.0,36.0
2009,Science,Macau,511.0,16.0
2009,Science,Malaysia,,
2009,Science,Malta,,
2009,Science,Mexico,416.0,46.0
2009,Science,Moldova,,
2009,Science,Montenegro,401.0,51.0
2009,Science,Netherlands,522.0,10.0
2009,Science,New Zealand,532.0,6.0
2009,Science,Norway,500.0,23.0
2009,Science,Peru,369.0,57.0
2009,Science,Poland,508.0,17.0
2009,Science,Portugal,493.0,30.0
2009,Science,Qatar,379.0,56.0
2009,Science,Romania,428.0,43.0
2009,Science,Russia,478.0,37.0
2009,Science,Singapore,542.0,3.0
2009,Science,Slovakia,490.0,32.0
2009,Science,Slovenia,512.0,15.0
2009,Science,Spain,488.0,34.0
2009,Science,Sweden,495.0,27.0
2009,Science,Switzerland,517.0,13.0
2009,Science,Thailand,425.0,45.0
2009,Science,Trinidad and Tobago,410.0,48.0
2009,Science,Tunisia,401.0,52.0
2009,Science,Turkey,454.0,40.0
2009,Science,United Arab Emirates,,
2009,Science,United Kingdom,514.0,14.0
2009,Science,United States,502.0,21.0
2009,Science,Uruguay,427.0,44.0
2009,Science,Vietnam,,
2012,Science,Albania,397.0,58.0
2012,Science,Algeria,,
2012,Science,Argentina,,
2012,Science,Australia,521.0,14.0
2012,Science,Austria,506.0,21.0
2012,Science,China B-S-J-G,,
2012,Science,Belgium,505.0,22.0
2012,Science,Brazil,402.0,55.0
2012,Science,Bulgaria,446.0,43.0
2012,Science,Argentina CABA,425.0,49.0
2012,Science,Canada,525.0,9.0
2012,Science,Chile,445.0,44.0
2012,Science,Taiwan,523.0,11.0
2012,Science,Colombia,399.0,56.0
2012,Science,Costa Rica,429.0,47.0
2012,Science,Croatia,491.0,32.0
2012,Science,Cyprus,,
2012,Science,Czech Republic,508.0,20.0
2012,Science,Denmark,498.0,25.0
2012,Science,Dominican Republic,,
2012,Science,Estonia,541.0,5.0
2012,Science,Finland,545.0,4.0
2012,Science,France,499.0,24.0
2012,Science,Macedonia,,
2012,Science,Georgia,,
2012,Science,Germany,524.0,10.0
2012,Science,Greece,467.0,40.0
2012,Science,Hong Kong,555.0,1.0
2012,Science,Hungary,494.0,30.0
2012,Science,Iceland,478.0,37.0
2012,Science,Indonesia,382.0,60.0
2012,Science,Ireland,522.0,13.0
2012,Science,Israel,470.0,39.0
2012,Science,Italy,494.0,31.0
2012,Science,Japan,547.0,3.0
2012,Science,Jordan,409.0,54.0
2012,Science,Kazakhstan,425.0,48.0
2012,Science,South Korea,538.0,6.0
2012,Science,Kosovo,,
2012,Science,Latvia,502.0,23.0
2012,Science,Lebanon,,
2012,Science,Lithuania,496.0,28.0
2012,Science,Luxembourg,491.0,33.0
