Year,Subject,Country,Score,Rank
2018,Maths,Indonesia,379.0,72.0
2018,Maths,Saudi Arabia,373.0,74.0
2018,Maths,Morocco,368.0,75.0
2018,Maths,Kosovo,366.0,76.0
2018,Maths,Panama,353.0,77.0
2018,Maths,Philippines,353.0,77.0
2018,Maths,Dominican Republic,325.0,79.0
2018,Science,China (B-S-J-Z),590.0,1.0
2018,Science,Singapore,551.0,2.0
2018,Science,Macau (China),544.0,3.0
2018,Science,Vietnam,543.0,4.0
2018,Science,Estonia,530.0,5.0
2018,Science,Japan,529.0,6.0
2018,Science,Finland,522.0,7.0
2018,Science,South Korea,519.0,8.0
2018,Science,Canada,518.0,9.0
2018,Science,Hong Kong (China),517.0,10.0
2018,Science,Taiwan,516.0,11.0
2018,Science,Poland,511.0,12.0
2018,Science,New Zealand,508.0,13.0
2018,Science,Slovenia,507.0,14.0
2018,Science,United Kingdom,505.0,15.0
2018,Science,Australia,503.0,16.0
2018,Science,Germany,503.0,16.0
2018,Science,Netherlands,503.0,16.0
2018,Science,United States,502.0,19.0
2018,Science,Belgium,499.0,20.0
2018,Science,Sweden,499.0,20.0
2018,Science,Czech Republic,497.0,22.0
2018,Science,Ireland,496.0,23.0
2018,Science,Switzerland,495.0,24.0
2018,Science,Denmark,493.0,25.0
2018,Science,France,493.0,25.0
2018,Science,Portugal,492.0,27.0
2018,Science,Austria,490.0,28.0
2018,Science,Norway,490.0,28.0
2018,Science,Latvia,487.0,30.0
2018,Science,Spain,483.0,31.0
2018,Science,Lithuania,482.0,32.0
2018,Science,Hungary,481.0,33.0
2018,Science,Russia,478.0,34.0
2018,Science,Luxembourg,477.0,35.0
2018,Science,Iceland,475.0,36.0
2018,Science,Croatia,472.0,37.0
2018,Science,Belarus,471.0,38.0
2018,Science,Ukraine,469.0,39.0
2018,Science,Italy,468.0,40.0
2018,Science,Turkey,468.0,40.0
2018,Science,Slovakia,464.0,42.0
2018,Science,Israel,462.0,43.0
2018,Science,Malta,457.0,44.0
2018,Science,Greece,452.0,45.0
2018,Science,Chile,444.0,46.0
2018,Science,Serbia,440.0,47.0
2018,Science,Cyprus,439.0,48.0
2018,Science,Malaysia,438.0,49.0
2018,Science,United Arab Emirates,434.0,50.0
2018,Science,Brunei,431.0,51.0
2018,Science,Jordan,429.0,52.0
2018,Science,Moldova,428.0,53.0
2018,Science,Romania,426.0,54.0
2018,Science,Thailand,426.0,54.0
2018,Science,Uruguay,426.0,54.0
2018,Science,Bulgaria,424.0,57.0
2018,Science,Mexico,419.0,58.0
2018,Science,Qatar,419.0,58.0
2018,Science,Albania,417.0,60.0
2018,Science,Costa Rica,416.0,61.0
2018,Science,Montenegro,415.0,62.0
2018,Science,Colombia,413.0,63.0
2018,Science,North Macedonia,413.0,63.0
2018,Science,Argentina,404.0,65.0
2018,Science,Brazil,404.0,65.0
2018,Science,Peru,404.0,65.0
2018,Science,Azerbaijan,398.0,68.0
2018,Science,Bosnia and Herzegovina,398.0,68.0
2018,Science,Kazakhstan,397.0,70.0
2018,Science,Indonesia,396.0,71.0
2018,Science,Saudi Arabia,386.0,72.0
2018,Science,Lebanon,384.0,73.0
2018,Science,Georgia,383.0,74.0
2018,Science,Morocco,377.0,75.0
2018,Science,Kosovo,365.0,76.0
2018,Science,Panama,365.0,76.0
2018,Science,Philippines,357.0,78.0
2018,Science,Dominican Republic,336.0,79.0
2018,Reading,China (B-S-J-Z),555.0,1.0
2018,Reading,Singapore,549.0,2.0
2018,Reading,Macau (China),525.0,3.0
2018,Reading,Hong Kong (China),524.0,4.0
2018,Reading,Estonia,523.0,5.0
2018,Reading,Canada,520.0,6.0
2018,Reading,Finland,520.0,6.0
2018,Reading,Ireland,518.0,8.0
2018,Reading,South Korea,514.0,9.0
2018,Reading,Poland,512.0,10.0
2018,Reading,New Zealand,506.0,11.0
2018,Reading,Sweden,506.0,11.0
2018,Reading,United States,505.0,13.0
2018,Reading,Vietnam,505.0,13.0
2018,Reading,Japan,504.0,15.0
2018,Reading,United Kingdom,504.0,15.0
2018,Reading,Australia,503.0,17.0
2018,Reading,Taiwan,503.0,17.0
2018,Reading,Denmark,501.0,19.0
2018,Reading,Norway,499.0,20.0
2018,Reading,Germany,498.0,21.0
2018,Reading,Slovenia,495.0,22.0
2018,Reading,Belgium,493.0,23.0
2018,Reading,France,493.0,23.0
2018,Reading,Portugal,492.0,25.0
2018,Reading,Czech Republic,490.0,26.0
2018,Reading,Netherlands,485.0,27.0
2018,Reading,Austria,484.0,28.0
2018,Reading,Switzerland,484.0,28.0
2018,Reading,Croatia,479.0,30.0
2018,Reading,Latvia,479.0,30.0
2018,Reading,Russia,479.0,30.0
2018,Reading,Hungary,476.0,33.0
2018,Reading,Italy,476.0,33.0
2018,Reading,Lithuania,476.0,33.0
2018,Reading,Belarus,474.0,36.0
2018,Reading,Iceland,474.0,36.0
2018,Reading,Israel,470.0,38.0
2018,Reading,Luxembourg,470.0,38.0
2018,Reading,Turkey,466.0,40.0
2018,Reading,Ukraine,466.0,40.0
2018,Reading,Slovakia,458.0,42.0
2018,Reading,Greece,457.0,43.0
2018,Reading,Chile,452.0,44.0
2018,Reading,Malta,448.0,45.0
2018,Reading,Serbia,439.0,46.0
2018,Reading,United Arab Emirates,432.0,47.0
2018,Reading,Romania,428.0,48.0
2018,Reading,Uruguay,427.0,49.0
2018,Reading,Costa Rica,426.0,50.0
2018,Reading,Cyprus,424.0,51.0
2018,Reading,Moldova,424.0,51.0
2018,Reading,Montenegro,421.0,53.0
2018,Reading,Bulgaria,420.0,54.0
2018,Reading,Mexico,420.0,54.0
2018,Reading,Jordan,419.0,56.0
2018,Reading,Malaysia,415.0,57.0
2018,Reading,Brazil,413.0,58.0
2018,Reading,Colombia,412.0,59.0
2018,Reading,Brunei,408.0,60.0
2018,Reading,Qatar,407.0,61.0
2018,Reading,Albania,405.0,62.0
2018,Reading,Bosnia and Herzegovina,403.0,63.0
2018,Reading,Argentina,402.0,64.0
2018,Reading,Peru,401.0,65.0
2018,Reading,Saudi Arabia,399.0,66.0
2018,Reading,North Macedonia,393.0,67.0
2018,Reading,Thailand,393.0,67.0
2018,Reading,Azerbaijan,389.0,69.0
2018,Reading,Kazakhstan,387.0,70.0
2018,Reading,Georgia,380.0,71.0
2018,Reading,Panama,377.0,72.0
2018,Reading,Indonesia,371.0,73.0
2018,Reading,Morocco,359.0,74.0
2018,Reading,Kosovo,353.0,75.0
2018,Reading,Lebanon,353.0,75.0
2018,Reading,Dominican Republic,342.0,77.0
2018,Reading,Philippines,340.0,78.0
